Unnamee: 0,lnd,lnT,lnR,L,dq,conv_vel,h1,he3,he4,c12,n14,o16,ne20,mg24
1,-2.0537359349668209e+01,1.0339193362614047e+01,2.6569756316935966e+01,7.7444237689831822e+37,5.0000000000000817e-13,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138455e-05,2.7997020236474883e-01,3.4416073257059731e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
2,-2.0499636939537690e+01,1.0344786205051568e+01,2.6569732520521283e+01,7.7444237689831796e+37,1.0963721588476904e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138455e-05,2.7997020236474883e-01,3.4416073257059731e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
3,-2.0447858890607886e+01,1.0352981028706909e+01,2.6569682267158705e+01,7.7444237689831707e+37,1.2472544386316326e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138219e-05,2.7997020236474883e-01,3.4416073257059442e-03,1.0081585205319676e-03,9.3604492797742118e-03,2.0994604783340919e-03,4.0903243956537611e-03
4,-2.0396901228938650e+01,1.0361662374996840e+01,2.6569627974217255e+01,7.7444237689831600e+37,1.2472544386316324e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138219e-05,2.7997020236474883e-01,3.4416073257059438e-03,1.0081585205319676e-03,9.3604492797742118e-03,2.0994604783340919e-03,4.0903243956537611e-03
5,-2.0346940739045185e+01,1.0370804643313666e+01,2.6569576370412240e+01,7.7444237689831503e+37,1.3981367184155877e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138455e-05,2.7997020236474883e-01,3.4416073257059736e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
6,-2.0298131327489192e+01,1.0380381469704327e+01,2.6569521334240975e+01,7.7444237689831387e+37,1.3981367184155693e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138455e-05,2.7997020236474883e-01,3.4416073257059731e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
7,-2.0252946402403129e+01,1.0389855105123335e+01,2.6569468911399334e+01,7.7444237689831263e+37,1.3981367184155668e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138455e-05,2.7997020236474883e-01,3.4416073257059731e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
8,-2.0212742654852684e+01,1.0398803888770538e+01,2.6569418796854260e+01,7.7444237689831147e+37,1.2749259584875844e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138450e-05,2.7997020236474883e-01,3.4416073257059731e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
9,-2.0176818646334795e+01,1.0407236247522086e+01,2.6569374893257964e+01,7.7444237689831050e+37,1.2749259584875813e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138450e-05,2.7997020236474883e-01,3.4416073257059731e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
10,-2.0143022757583417e+01,1.0415560914236992e+01,2.6569332533380682e+01,7.7444237689830934e+37,1.2749259584875878e-12,0.0000000000000000e+00,7.0000000000000000e-01,2.9797635251138379e-05,2.7997020236474883e-01,3.4416073257059642e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
11,-2.0111152306858572e+01,1.0423773561272311e+01,2.6569291576054050e+01,7.7444237689830819e+37,1.2749259584875860e-12,0.0000000000000000e+00,7.0000000000000000e-01,2.9797635251138379e-05,2.7997020236474883e-01,3.4416073257059642e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
12,-2.0061903996503391e+01,1.0437231407812777e+01,2.6569251898675636e+01,7.7444237689830712e+37,2.9748272364710576e-12,0.0000000000000000e+00,6.9999999999999991e-01,2.9797635251138455e-05,2.7997020236474883e-01,3.4416073257059731e-03,1.0081585205319676e-03,9.3604492797742135e-03,2.0994604783340919e-03,4.0903243956537602e-03
