 model_number num_zones star_age log_dt star_mass log_xmstar log_abs_mdot mass_conv_core conv_mx1_top conv_mx1_bot conv_mx2_top conv_mx2_bot mx1_top mx1_bot mx2_top mx2_bot log_LH log_LHe log_LZ log_Lnuc pp cno tri_alfa epsnuc_M_1 epsnuc_M_2 epsnuc_M_3 epsnuc_M_4 epsnuc_M_5 epsnuc_M_6 epsnuc_M_7 epsnuc_M_8 he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass neutron_rich_core_mass log_Teff log_L log_R log_g v_div_csound_surf log_center_T log_center_Rho log_cntr_P log_cntr_Rho log_cntr_T center_mu center_ye center_abar center_h1 center_he4 center_c12 center_o16 surface_c12 surface_o16 total_mass_h1 total_mass_he4 num_retries num_backups num_iters 
 1 441 1.0000000000000001E-005 -4.9999999999999991E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 9.7692536338616211E-004 9.9992295410947929E-001 1.6808041981325812E-003 3.7658593408764114E-005 7.8128306437072516E-008 9.9992295410947929E-001 1.6808041981325812E-003 3.7658593408764114E-005 7.8128306437072516E-008 -2.1750704307347629E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1750704307347629E+001 -2.1750704307347629E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5767402626949338E+000 4.3068627762382548E+000 2.5232096991818858E+000 5.6756121410503491E-001 -2.1639597757005617E+000 5.4777641472054626E+000 -5.4142082731199990E+000 8.2437138963006138E+000 -5.4142082731199990E+000 5.4777641472054626E+000 6.2095115166772852E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059745E-003 9.3604492797742158E-003 1.0500000000000002E+001 4.1995530354712329E+000 0 0 5 
 5 440 7.4416000000000000E-005 -4.6832750158095005E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 9.7629232241957045E-004 9.9992295410947940E-001 1.6808244657281126E-003 3.7658593408986158E-005 7.8128306659117121E-008 9.9992295410947940E-001 1.6808244657281126E-003 3.7658593408986158E-005 7.8128306659117121E-008 -2.1750689572951533E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1750689572951533E+001 -2.1750689572951533E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5748489782074837E+000 4.2992013205264481E+000 2.5231615403008836E+000 5.6765753186703893E-001 -1.9361348931730795E+000 5.4777608527137867E+000 -5.4142001326732530E+000 8.2437166228952794E+000 -5.4142001326732530E+000 5.4777608527137867E+000 6.2095115337383366E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059741E-003 9.3604492797742158E-003 1.0500000000000002E+001 4.1995530354712329E+000 0 0 5 
 10 457 2.5958682111999992E-004 -4.2873687855713767E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 9.7403268886966650E-004 9.9992533228376912E-001 1.6808828290906432E-003 3.7658593408764114E-005 7.8128306437072516E-008 9.9992533228376912E-001 1.6808828290906432E-003 3.7658593408764114E-005 7.8128306437072516E-008 -2.1750652196657722E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1750652196657722E+001 -2.1750652196657722E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5705163147013703E+000 4.2816516440038646E+000 2.5230520290518186E+000 5.6787655436516904E-001 -1.4126397323515738E+000 5.4777553403407637E+000 -5.4141838111008429E+000 8.2437235688045085E+000 -5.4141838111008429E+000 5.4777553403407637E+000 6.2095115625493547E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059732E-003 9.3604492797742158E-003 1.0500000000000004E+001 4.1995530354712329E+000 0 0 5 
 15 439 7.2035107872931792E-004 -3.8914625553332525E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 9.6515111598822296E-004 9.9995074938156003E-001 1.6810264781782908E-003 3.7658593408764114E-005 7.8128306437072516E-008 9.9995074938156003E-001 1.6810264781782908E-003 3.7658593408764114E-005 7.8128306437072516E-008 -2.1750582266267187E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1750582266267187E+001 -2.1750582266267187E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5640801749123328E+000 4.2556026408321950E+000 2.5228998070440585E+000 5.6818099838068914E-001 -6.4747070275757812E-001 5.4777513912664739E+000 -5.4141626808150258E+000 8.2437368737637673E+000 -5.4141626808150258E+000 5.4777513912664739E+000 6.2095115841416870E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059728E-003 9.3604492797742158E-003 1.0500000000000002E+001 4.1995530354712329E+000 0 0 5 
 20 453 1.8668799962237360E-003 -3.4955563250951283E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 9.1699327808303897E-004 9.9996300406223904E-001 1.6813335875232635E-003 3.7658593408764114E-005 7.8128306437072516E-008 9.9996300406223904E-001 1.6813335875232635E-003 3.7658593408764114E-005 7.8128306437072516E-008 -2.1750475505466806E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1750475505466806E+001 -2.1750475505466806E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5583175846355850E+000 4.2324124467860420E+000 2.5228298905744784E+000 5.6832083131984990E-001 3.1203042963399027E-002 5.4777530140200232E+000 -5.4141406325335781E+000 8.2437585272703089E+000 -5.4141406325335781E+000 5.4777530140200232E+000 6.2095115783920318E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059719E-003 9.3604492797742158E-003 1.0500000000000004E+001 4.1995530354712329E+000 0 0 5 
 25 437 4.7198108322034464E-003 -3.0996500948570045E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 6.0622229725994388E-004 9.9996300406223904E-001 1.6818405435900434E-003 3.7658593408764114E-005 7.8128306437072516E-008 9.9996300406223904E-001 1.6818405435900434E-003 3.7658593408764114E-005 7.8128306437072516E-008 -2.1750315240218846E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1750315240218846E+001 -2.1750315240218846E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5571880626126489E+000 4.2284027142100671E+000 2.5230840683323623E+000 5.6781247580408145E-001 3.1158822917804296E-001 5.4777621902225961E+000 -5.4141145853525838E+000 8.2437939290528082E+000 -5.4141145853525838E+000 5.4777621902225961E+000 6.2095115358203434E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059706E-003 9.3604492797742158E-003 1.0500000000000004E+001 4.1995530354712329E+000 0 0 5 
 30 453 1.1818815689988476E-002 -2.7037438646188803E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 5.4632960820188417E-004 9.9995969080129754E-001 1.6826998219771092E-003 2.3829508330243572E-005 7.8128306437072516E-008 9.9995969080129754E-001 1.6826998219771092E-003 2.3829508330243572E-005 7.8128306437072516E-008 -2.1749991493071221E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1749991493071221E+001 -2.1749991493071221E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5612900134697552E+000 4.2464383333250080E+000 2.5238979761756202E+000 5.6618466011756619E-001 3.0615003581418149E-001 5.4777845498131184E+000 -5.4140666878592514E+000 8.2438664501999295E+000 -5.4140666878592514E+000 5.4777845498131184E+000 6.2095114302763443E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059702E-003 9.3604492797742158E-003 1.0500000000000004E+001 4.1995530354712329E+000 0 0 4 
 35 437 2.9483411457712123E-002 -2.3078376343807565E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 3.4893341970242901E-004 9.9995074938156003E-001 1.6837042518220119E-003 1.6914965791011056E-005 7.8128306437072516E-008 9.9995074938156003E-001 1.6837042518220119E-003 1.6914965791011056E-005 7.8128306437072516E-008 -2.1749237963930650E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1749237963930650E+001 -2.1749237963930650E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5682430261035827E+000 4.2774102733297612E+000 2.5254779209103426E+000 5.6302477064812073E-001 2.1452990310003670E-001 5.4778364652741711E+000 -5.4139586984580479E+000 8.2440319907075086E+000 -5.4139586984580479E+000 5.4778364652741711E+000 6.2095111836497752E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059697E-003 9.3604492797742158E-003 1.0500000000000004E+001 4.1995530354712329E+000 0 0 3 
 40 455 7.3438578398454205E-002 -1.9119314041426323E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 1.4881523262948732E-004 9.9993703599076145E-001 1.6823353387301512E-003 5.0002116257512785E-006 7.8128306492581973E-008 9.9993703599076145E-001 1.6823353387301512E-003 5.0002116257512785E-006 7.8128306492581973E-008 -2.1747500013590141E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1747500013590141E+001 -2.1747500013590141E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5746233611377205E+000 4.3076507262517989E+000 2.5278374773030841E+000 5.5830565786263853E-001 1.1562341792839398E-001 5.4779562944950015E+000 -5.4137095083919737E+000 8.2444140281741927E+000 -5.4137095083919737E+000 5.4779562944950015E+000 6.2095106077288187E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059684E-003 9.3604492797742158E-003 1.0500000000000004E+001 4.1995530354712312E+000 0 0 3 
 45 439 1.8281309940044160E-001 -1.5160251739045081E+000 1.5000000000000000E+001 3.4474769709615863E+001 -9.8999999999999986E+001 0.0000000000000000E+000 9.9993004684240794E-001 8.3488653423979386E-004 0.0000000000000000E+000 0.0000000000000000E+000 9.9993004684240794E-001 8.3488653423979386E-004 0.0000000000000000E+000 0.0000000000000000E+000 -2.1743698509634108E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1743698509634108E+001 -2.1743698509634108E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 -2.0000000000000000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 3.5782450135075221E+000 4.3273843767351954E+000 2.5304609978051813E+000 5.5305861685844393E-001 4.5339804470212700E-002 5.4782312397550426E+000 -5.4131365070307913E+000 8.2452917111017250E+000 -5.4131365070307913E+000 5.4782312397550426E+000 6.2095092510016769E-001 8.5000496627254207E-001 1.2966439686859805E+000 7.0000000000000007E-001 2.7997020236474890E-001 3.4416073257059875E-003 9.3604492797742141E-003 3.4416073257059680E-003 9.3604492797742158E-003 1.0500000000000004E+001 4.1995530354712312E+000 0 0 3 
